"Info_organism_id","N"
"100835",1
"103929",3
"11191",4
"11196",2
"11215",3
"11217",8
"11232",15
"11234",22
"11235",40
"11241",2
"11243",2
"11246",5
"11250",19
"11251",1
"11252",2
"11253",1
"11255",5
"11256",5
"11259",32
"11260",11
"11269",5
"11276",1
"11277",4
"11288",10
"11292",17
"11295",4
"11296",1
"11320",29
"1133363",1
"1144025",3
"11553",1
"11577",1
"11588",3
"11590",3
"11602",4
"11620",6
"11622",6
"11623",2
"11624",1
"1173018",4
"121791",4
"12455",8
"128952",8
"130760",1
"130763",2
"1310532",1
"132487",1
"132504",5
"1331831",1
"150127",1
"155218",1
"155220",1
"1570291",2
"162326",1
"164326",2
"165512",2
"172149",1
"1763596",7
"183741",1
"183764",1
"186538",146
"186539",8
"186540",14
"1933298",1
"1933300",1
"196462",1
"1968303",10
"1968304",2
"1980456",1
"1980459",1
"1980481",1
"1980485",1
"1980486",1
"1980491",1
"1980494",1
"1980519",100
"2026007",1
"208893",19
"211044",14
"2169991",4
"2560319",25
"2560580",1
"2560602",2
"260806",1
"266827",3
"279329",1
"280855",3
"284190",1
"284202",1
"284218",27
"292039",1
"292045",1
"292590",1
"303316",2
"332747",1
"336092",1
"33727",2
"352034",1
"352564",1
"352764",1
"357210",1
"359921",1
"36409",4
"367120",1
"370810",2
"370811",1
"371214",6
"37207",1
"378830",2
"380284",1
"380342",1
"381512",15
"381513",14
"381516",1
"382781",3
"382825",1
"382832",1
"382835",2
"383571",3
"383586",3
"384505",2
"384510",1
"385585",1
"387139",6
"387147",3
"387161",3
"39002",22
"392809",4
"392811",1
"400828",1
"402938",1
"404573",1
"410078",2
"411157",1
"414044",1
"417758",1
"41857",5
"418868",2
"42097",1
"421472",3
"421901",1
"425551",1
"427773",1
"427890",1
"432070",1
"444318",1
"447133",1
"449656",19
"453057",1
"461772",1
"464314",1
"464622",1
"468968",1
"46920",1
"472511",1
"476294",4
"479022",1
"504904",9
"506282",1
"506350",3
"510222",1
"529058",1
"55097",1
"556277",1
"562988",1
"562992",1
"565995",25
"577543",1
"59375",1
"604436",1
"614035",1
"63106",3
"632134",1
"63330",1
"641501",17
"641809",2
"641812",1
"642261",2
"644289",2
"644788",4
"645724",1
"647923",9
"648856",1
"654811",1
"680690",2
"680692",1
"683780",1
"754366",1
"82823",1
"82824",1
"83192",1
"88104",2
"89169",1
"89172",1
"915014",6
